,postcode,lat,lon,total_square,rooms,floor,city,settlement,district,area,price_mln
28803,115404.0,55.599577,37.654148,18.8,,1.0,Москва,,Бирюлёво Восточное район,,4.35
28804,125371.0,55.830685,37.399136,79.0,3.0,20.0,Москва,,Покровское-Стрешнево район,,24.38
28805,117449.0,55.69393,37.583354,84.0,3.0,11.0,Москва,,Академический район,,27.5
28806,125047.0,55.775039,37.598876,102.2,4.0,4.0,Москва,,Тверской район,,55.5
28807,107143.0,55.817697,37.746318,62.0,2.0,12.0,Москва,,Метрогородок район,,15.03
28808,143002.0,55.654995,37.233698,82.2,3.0,5.0,Одинцово,,,,17.5
28809,127220.0,55.793288,37.57873,55.12,2.0,5.0,Москва,,Савёловский район,,26.91
28810,111024.0,55.745349,37.702354,34.6,1.0,5.0,Москва,,Лефортово район,,10.99
28811,142720.0,55.528531,37.586045,49.0,1.0,16.0,,рп. Дрожжино,,Бутово парк 2 м-н,8.9
28812,140073.0,55.656243,37.926329,59.3,3.0,3.0,,рп. Томилино,,Птицефабрика м-н,7.2
28813,109044.0,55.728766,37.669092,45.0,2.0,3.0,Москва,,Таганский район,,24.0
28814,121170.0,55.734324,37.524964,50.8,2.0,18.0,Москва,,Дорогомилово район,,50.23
28815,115114.0,55.7275,37.642774,43.1,1.0,6.0,Москва,,Замоскворечье район,,20.08
28816,121087.0,55.749511,37.518181,54.2,2.0,2.0,Москва,,Филёвский парк район,,22.96
28817,123182.0,55.809147,37.482479,51.0,1.0,8.0,Москва,,Щукино район,,22.0
28818,125464.0,55.840864,37.379099,84.0,2.0,24.0,Москва,,Митино район,,23.1
28819,117624.0,55.557956,37.556478,120.0,4.0,7.0,Москва,,Южное Бутово район,,37.0
28820,121170.0,55.735249,37.526343,50.24,2.0,7.0,Москва,,Дорогомилово район,,27.56
28821,125445.0,55.869814,37.462693,50.0,1.0,9.0,Москва,,Левобережный район,,16.0
28822,119361.0,55.696321,37.469801,40.5,1.0,29.0,Москва,,Раменки район,,19.99
28823,141420.0,55.945648,37.293483,84.0,3.0,2.0,Химки,,,Сходня м-н,15.0
28824,125222.0,55.833726,37.359121,198.0,4.0,3.0,Москва,,Митино район,,75.0
28825,125252.0,55.785446,37.511897,87.7,3.0,5.0,Москва,,Хорошёвский район,,31.4
28826,119192.0,55.695901,37.485901,75.0,2.0,13.0,Москва,,Раменки район,,33.0
28827,115054.0,55.717209,37.636437,62.7,2.0,2.0,Москва,,Даниловский район,,27.27
28828,117279.0,55.637259,37.527235,45.5,2.0,1.0,Москва,,Коньково район,,12.5
28829,143906.0,55.821801,37.889469,37.7,1.0,11.0,Балашиха,,,Изумрудный м-н,6.0
28830,119002.0,55.747541,37.586702,106.3,3.0,8.0,Москва,,Арбат район,,53.0
28831,121609.0,55.746567,37.421663,73.4,3.0,3.0,Москва,,Крылатское район,,23.0
28832,123298.0,55.78476,37.496677,38.0,1.0,6.0,Москва,,Хорошёво-Мнёвники район,,17.9
28833,108814.0,55.548306,37.51588,23.6,1.0,9.0,Москва,,Южное Бутово район,,7.82
28834,123060.0,55.797369,37.495155,50.0,2.0,6.0,Москва,,Щукино район,,26.71
28835,119421.0,55.65575,37.515863,52.3,3.0,5.0,Москва,,Обручевский район,,18.4
28836,123423.0,55.778715,37.485073,59.1,3.0,9.0,Москва,,Хорошёво-Мнёвники район,,15.7
